job_key,job_title,job_source,target_degree_title,degree_key,degree_title,provider,model,cosine_similarity,updated_at
job::jobspy_indeed::indeed_20260422124652,Docente de Química/Física/Ciencias,jobspy_indeed,Grado en Física,degree::university_official_live::ull_f4caa4f328bf,Grado en Física,ollama,nomic-embed-text,0.7815103295393049,2026-04-30T11:29:05.044450+00:00
job::jobspy_indeed::indeed_20260422124652,Docente de Química/Física/Ciencias,jobspy_indeed,Grado en Física,degree::university_official_live::uec_bdd836a3b79b,Grado en Física,ollama,nomic-embed-text,0.7750701360085078,2026-04-30T11:29:05.044450+00:00
job::jobspy_indeed::indeed_20260422124652,Docente de Química/Física/Ciencias,jobspy_indeed,Grado en Química,degree::university_official_live::ull_04a5a2661c2e,Grado en Química,ollama,nomic-embed-text,0.7603702559253337,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003075,LOGOPEDAS,sce,Grado en Logopedia,degree::university_official_live::ull_f0c794df830b,Grado en Logopedia,ollama,nomic-embed-text,0.7504845556515752,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003075,LOGOPEDAS,sce,Grado en Logopedia,degree::university_official_live::uec_4f5356308847,Grado en Logopedia,ollama,nomic-embed-text,0.7574378443200969,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003072,"ELECTRICISTAS DE MANTENIMIENTO Y REPARACIÓN, EN GENERAL",sce,Grado en Ingeniería Electrónica Industrial y Automática,degree::university_official_live::ull_b1ab88a8f42c,Grado en Ingeniería Electrónica Industrial y Automática,ollama,nomic-embed-text,0.7012963152404105,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003072,"ELECTRICISTAS DE MANTENIMIENTO Y REPARACIÓN, EN GENERAL",sce,Máster Universitario en Electrónica y Tecnología Digital Aplicada,degree::university_official_live::ulpgc_d60a89047eda,Máster Universitario en Electrónica y Tecnología Digital Aplicada,ollama,nomic-embed-text,0.5614655728941578,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003072,"ELECTRICISTAS DE MANTENIMIENTO Y REPARACIÓN, EN GENERAL",sce,Máster Universitario en Electrónica y Telecomunicación Aplicadas (en extinción),degree::university_official_live::ulpgc_da4b04e7823a,Máster Universitario en Electrónica y Telecomunicación Aplicadas (en extinción),ollama,nomic-embed-text,0.5750815695992704,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003073,PROFESORES DEL ÁREA DE MATEMÁTICAS (ENSEÑANZA SECUNDARIA),sce,Grado en Matemáticas,degree::university_official_live::ull_876d9771ead5,Grado en Matemáticas,ollama,nomic-embed-text,0.7114757469780019,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.003073,PROFESORES DEL ÁREA DE MATEMÁTICAS (ENSEÑANZA SECUNDARIA),sce,Grado en Matemáticas,degree::university_official_live::uec_f2df665bc47e,Grado en Matemáticas,ollama,nomic-embed-text,0.6846052908015414,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.002796,"MECÁNICOS DE MANTENIMIENTO Y REPARACIÓN DE AUTOMOCIÓN, EN GENERAL",sce,Máster en Ingeniería de Automoción,degree::university_official_live::uec_3b637798dd64,Máster en Ingeniería de Automoción,ollama,nomic-embed-text,0.6793403891596252,2026-04-30T11:29:05.044450+00:00
job::sce::05.2026.002796,"MECÁNICOS DE MANTENIMIENTO Y REPARACIÓN DE AUTOMOCIÓN, EN GENERAL",sce,Grado en Ingeniería Mecánica,degree::university_official_live::ull_e84a5be4b2fa,Grado en Ingeniería Mecánica,ollama,nomic-embed-text,0.6517753768511195,2026-04-30T11:29:05.044450+00:00
